AÑO;MES;FECHA;SORTEO;VENTA BRUTA
2021;enero;7/01/2021;2570;$ 946.135.000
2021;enero;14/01/2021;2571;$ 934.545.000
2021;enero;21/01/2021;2572;$ 987.100.000
2021;enero;28/01/2021;2573;$ 1.079.700.000
2021;febrero;4/02/2021;2574;$ 1.150.805.000
2021;febrero;11/02/2021;2575;$ 1.120.460.000
2021;febrero;18/02/2021;2576;$ 1.086.170.000
2021;febrero;25/02/2021;2577;$ 1.102.670.000
2021;marzo;4/03/2021;2578;$ 1.171.895.000
2021;marzo;11/03/2021;2579;$ 1.100.510.000
2021;marzo;18/03/2021;2580;$ 1.140.330.000
2021;marzo;25/03/2021;2581;$ 1.142.220.000
2021;abril;8/04/2021;2582;$ 1.154.425.000
2021;abril;15/04/2021;2583;$ 1.096.235.000
2021;abril;22/04/2021;2584;$ 1.008.900.000
2021;abril;29/04/2021;2585;$ 918.090.000
2021;mayo;6/05/2021;2586;$ 873.130.000
2021;mayo;13/05/2021;2587;$ 920.105.000
2021;mayo;15/05/2021;Extra 003;$ 4.106.520.000
2021;mayo;20/05/2021;2588;$ 971.190.000
2021;mayo;27/05/2021;2589;$ 1.006.805.000
2021;junio;3/06/2021;2590;$ 1.107.270.000
2021;junio;10/06/2021;2591;$ 1.063.090.000
2021;junio;17/06/2021;2592;$ 999.595.000
2021;junio;24/06/2021;2593;$ 1.300.020.000
2021;julio;1/07/2021;2594;$ 1.253.025.000
2021;julio;8/07/2021;2595;$ 1.235.610.000
2021;julio;15/07/2021;2596;$ 1.270.760.000
2021;julio;22/07/2021;2597;$ 1.161.720.000
2021;julio;29/07/2021;2598;$ 1.213.195.000
2021;agosto;5/08/2021;2599;$ 1.279.240.000
2021;agosto;12/08/2021;2600;$ 1.265.180.000
2021;agosto;19/08/2021;2601;$ 1.262.865.000
2021;agosto;26/08/2021;2602;$ 1.231.685.000
2021;septiembre;2/09/2021;2603;$ 1.294.230.000
2021;septiembre;9/09/2021;2604;$ 1.255.410.000
2021;septiembre;16/09/2021;2605;$ 1.341.160.000
2021;septiembre;23/09/2021;2606;$ 1.206.740.000
2021;septiembre;30/09/2021;2607;$ 1.289.735.000
2021;octubre;7/10/2021;2608;$ 1.327.090.000
2021;octubre;14/10/2021;2609;$ 1.202.465.000
2021;octubre;21/10/2021;2610;$ 1.251.255.000
2021;octubre;28/10/2021;2611;$ 1.268.755.000
2021;noviembre;4/11/2021;2612;$ 1.344.275.000
2021;noviembre;11/11/2021;2613;$ 1.352.170.000
2021;noviembre;18/11/2021;2614;$ 1.302.470.000
2021;noviembre;25/11/2021;2615;$ 1.285.390.000
2021;diciembre;2/12/2021;2616;$ 1.441.455.000
2021;diciembre;9/12/2021;2617;$ 1.069.785.000
2021;diciembre;11/12/2021;Extra 004;$ 5.682.800.000
2021;diciembre;16/12/2021;2618;$ 1.471.960.000
2021;diciembre;23/12/2021;2619;$ 1.672.590.000
2021;diciembre;30/12/2021;2620;$ 1.470.560.000
